Date,liczba_przypadkow,zgony,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_na_10_tys_mieszkancow,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na,File_Name,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow
2020-11-24,10141,540.0,,348135,2.64,55.0,485.0,40085.0,47540.0,11502.0,34425.0,1613.0,t00,2020-11-23,20201124060000_rap_rcb_woj_eksport.csv,,,,
2020-11-25,15360,674.0,,341659,4.0,152.0,522.0,23488.0,54288.0,16672.0,36105.0,1511.0,t00,2020-11-24,20201125060000_rap_rcb_woj_eksport.csv,,,,
2020-11-26,16846,580.0,,345501,4.39,78.0,502.0,21671.0,57120.0,18161.0,37467.0,1492.0,t00,2020-11-25,20201126060000_rap_rcb_woj_eksport.csv,,,,
2020-11-27,17059,579.0,,345333,4.45,112.0,467.0,20906.0,63763.0,18247.0,43628.0,1888.0,t00,2020-11-26,20201127060000_rap_rcb_woj_eksport.csv,,,,
2020-11-28,15183,599.0,,332314,3.96,85.0,514.0,20924.0,60368.0,16469.0,42242.0,1657.0,t00,2020-11-27,20201128060000_rap_rcb_woj_eksport.csv,,,,
2020-11-29,11483,283.0,,316146,2.99,46.0,237.0,429.0,37742.0,12276.0,24238.0,1228.0,t00,2020-11-28,20201129060000_rap_rcb_woj_eksport.csv,,,,
2020-11-30,5734,121.0,,294775,1.5,21.0,100.0,319.0,23174.0,6441.0,16016.0,717.0,t00,2020-11-29,20201130060000_rap_rcb_woj_eksport.csv,,,,
2020-12-01,9066,449.0,,284156,2.36,68.0,381.0,32929.0,44535.0,10522.0,32918.0,1095.0,t00,2020-11-30,20201201060000_rap_rcb_woj_eksport.csv,,,,
2020-12-02,13870,609.0,,274769,3.62,89.0,520.0,20365.0,55056.0,15171.0,38468.0,1417.0,t00,2020-12-01,20201202060000_rap_rcb_woj_eksport.csv,,,,
2020-12-03,14838,620.0,,282408,3.87,109.0,511.0,18901.0,64452.0,15979.0,46709.0,1764.0,t00,2020-12-02,20201203060000_rap_rcb_woj_eksport.csv,,,,
2020-12-04,13230,531.0,,285534,3.45,110.0,421.0,17727.0,56872.0,14757.0,40530.0,1585.0,t00,2020-12-03,20201204060000_rap_rcb_woj_eksport.csv,,,,
2020-12-05,12430,502.0,,275582,3.24,104.0,398.0,17804.0,65627.0,14323.0,49585.0,1719.0,t00,2020-12-04,20201205060000_rap_rcb_woj_eksport.csv,,,,
2020-12-06,9175,228.0,,254509,2.39,42.0,186.0,441.0,35869.0,10070.0,24633.0,1166.0,t00,2020-12-05,20201206060000_rap_rcb_woj_eksport.csv,,,,
2020-12-07,4424,92.0,,234065,1.15,10.0,82.0,331.0,20824.0,5103.0,15058.0,663.0,t00,2020-12-06,20201207060000_rap_rcb_woj_eksport.csv,,,,
2020-12-08,8315,411.0,,231665,2.17,94.0,317.0,30246.0,48586.0,10483.0,36901.0,1202.0,t00,2020-12-07,20201208060000_rap_rcb_woj_eksport.csv,,,,
2020-12-09,12164,568.0,,225269,3.17,133.0,435.0,18088.0,51537.0,13353.0,36964.0,1220.0,t00,2020-12-08,20201209060000_rap_rcb_woj_eksport.csv,,,,
2020-12-10,13747,470.0,,232242,3.58,113.0,357.0,17279.0,55051.0,14880.0,38673.0,1498.0,t00,2020-12-09,20201210060000_rap_rcb_woj_eksport.csv,,,,
2020-12-11,13105,544.0,,235155,3.42,132.0,412.0,16962.0,54978.0,14539.0,38840.0,1599.0,t00,2020-12-10,20201211060000_rap_rcb_woj_eksport.csv,,,,
2020-12-12,11498,502.0,,227813,3.0,131.0,371.0,17178.0,54829.0,13233.0,40286.0,1310.0,t00,2020-12-11,20201212060000_rap_rcb_woj_eksport.csv,,,,
2020-12-13,8978,188.0,,210836,2.34,49.0,139.0,407.0,37081.0,10132.0,25981.0,968.0,t00,2020-12-12,20201213060000_rap_rcb_woj_eksport.csv,,,,
2020-12-14,4858,96.0,,195342,1.27,40.0,56.0,308.0,24994.0,5944.0,18464.0,586.0,t00,2020-12-13,20201214060000_rap_rcb_woj_eksport.csv,,,,
