data,operatori sanitari,altri
2020-01-28,1.0,10
2020-01-29,1.0,12
2020-01-30,1.0,23
2020-01-31,2.0,25
2020-02-01,5.0,37
2020-02-02,3.0,31
2020-02-03,2.0,18
2020-02-04,2.0,17
2020-02-05,1.0,25
2020-02-06,2.0,16
2020-02-07,3.0,13
2020-02-08,0.0,16
2020-02-09,0.0,16
2020-02-10,2.0,48
2020-02-11,3.0,21
2020-02-12,1.0,46
2020-02-13,2.0,39
2020-02-14,5.0,56
2020-02-15,10.0,125
2020-02-16,1.0,73
2020-02-17,8.0,123
2020-02-18,9.0,138
2020-02-19,11.0,116
2020-02-20,20.0,340
2020-02-21,32.0,258
2020-02-22,36.0,314
2020-02-23,33.0,410
2020-02-24,67.0,517
2020-02-25,52.0,671
2020-02-26,44.0,608
2020-02-27,82.0,670
2020-02-28,83.0,966
2020-02-29,82.0,843
2020-03-01,155.0,1932
2020-03-02,160.0,1474
2020-03-03,152.0,1686
2020-03-04,187.0,1391
2020-03-05,233.0,1898
2020-03-06,292.0,2050
2020-03-07,299.0,2198
2020-03-08,378.0,2580
2020-03-09,529.0,2918
2020-03-10,571.0,4180
2020-03-11,491.0,2733
2020-03-12,560.0,3076
2020-03-13,652.0,3442
2020-03-14,494.0,3025
2020-03-15,623.0,3861
2020-03-16,659.0,3463
2020-03-17,496.0,2976
2020-03-18,534.0,3052
2020-03-19,494.0,2673
2020-03-20,622.0,4053
2020-03-21,387.0,2431
2020-03-22,480.0,2367
2020-03-23,547.0,2766
2020-03-24,463.0,2143
2020-03-25,480.0,2352
2020-03-26,378.0,1983
2020-03-27,389.0,2169
2020-03-28,397.0,1914
2020-03-29,347.0,1496
2020-03-30,497.0,2246
2020-03-31,366.0,1581
2020-04-01,445.0,2569
2020-04-02,342.0,1600
2020-04-03,393.0,1622
2020-04-04,264.0,1406
2020-04-05,244.0,1244
2020-04-06,328.0,1405
2020-04-07,270.0,1319
2020-04-08,274.0,1337
2020-04-09,230.0,1259
2020-04-10,283.0,1686
2020-04-11,210.0,968
2020-04-12,208.0,1080
2020-04-13,202.0,986
2020-04-14,216.0,1188
2020-04-15,215.0,1391
2020-04-16,231.0,1057
2020-04-17,203.0,1053
2020-04-18,150.0,874
2020-04-19,116.0,701
2020-04-20,235.0,1275
2020-04-21,141.0,798
2020-04-22,151.0,812
2020-04-23,165.0,730
2020-04-24,136.0,643
2020-04-25,100.0,574
2020-04-26,79.0,481
2020-04-27,114.0,755
2020-04-28,91.0,525
2020-04-29,91.0,488
2020-04-30,85.0,456
2020-05-01,64.0,457
2020-05-02,55.0,328
2020-05-03,46.0,249
2020-05-04,61.0,356
2020-05-05,47.0,404
2020-05-06,50.0,315
2020-05-07,53.0,299
2020-05-08,39.0,351
2020-05-09,30.0,182
2020-05-10,30.0,220
2020-05-11,36.0,279
2020-05-12,33.0,280
2020-05-13,33.0,237
2020-05-14,38.0,197
2020-05-15,31.0,244
2020-05-16,19.0,162
2020-05-17,18.0,131
2020-05-18,24.0,216
2020-05-19,21.0,180
2020-05-20,22.0,190
2020-05-21,13.0,148
2020-05-22,9.0,132
2020-05-23,9.0,102
2020-05-24,6.0,81
2020-05-25,14.0,169
2020-05-26,8.0,136
2020-05-27,13.0,144
2020-05-28,3.0,116
2020-05-29,2.0,105
2020-05-30,3.0,89
2020-05-31,1.0,58
2020-06-01,9.0,117
2020-06-02,3.0,50
2020-06-03,4.0,107
2020-06-04,5.0,81
2020-06-05,8.0,102
2020-06-06,8.0,63
2020-06-07,7.0,52
2020-06-08,6.0,101
2020-06-09,6.0,88
2020-06-10,6.0,82
2020-06-11,4.0,75
2020-06-12,2.0,98
2020-06-13,3.0,58
2020-06-14,5.0,65
2020-06-15,2.0,94
2020-06-16,7.0,84
2020-06-17,5.0,69
2020-06-18,5.0,71
2020-06-19,6.0,62
2020-06-20,2.0,58
2020-06-21,4.0,50
2020-06-22,1.0,73
2020-06-23,2.0,64
2020-06-24,3.0,87
2020-06-25,0.0,69
2020-06-26,2.0,86
2020-06-27,3.0,55
2020-06-28,3.0,47
2020-06-29,1.0,85
2020-06-30,0.0,62
2020-07-01,2.0,96
2020-07-02,4.0,68
2020-07-03,2.0,63
2020-07-04,2.0,62
2020-07-05,3.0,53
2020-07-06,2.0,85
2020-07-07,1.0,92
2020-07-08,1.0,93
2020-07-09,0.0,77
2020-07-10,3.0,97
2020-07-11,2.0,73
2020-07-12,2.0,65
2020-07-13,1.0,94
2020-07-14,2.0,95
2020-07-15,5.0,84
2020-07-16,3.0,76
2020-07-17,2.0,95
2020-07-18,3.0,80
2020-07-19,2.0,79
2020-07-20,4.0,121
2020-07-21,5.0,105
2020-07-22,4.0,107
2020-07-23,6.0,110
2020-07-24,5.0,90
2020-07-25,5.0,112
2020-07-26,2.0,92
2020-07-27,3.0,115
2020-07-28,4.0,124
2020-07-29,4.0,120
2020-07-30,3.0,102
2020-07-31,6.0,103
2020-08-01,5.0,139
2020-08-02,6.0,104
2020-08-03,4.0,189
2020-08-04,4.0,169
2020-08-05,7.0,176
2020-08-06,4.0,176
2020-08-07,4.0,177
2020-08-08,5.0,218
2020-08-09,6.0,178
2020-08-10,9.0,240
2020-08-11,10.0,221
2020-08-12,7.0,234
2020-08-13,5.0,254
2020-08-14,4.0,249
2020-08-15,10.0,300
2020-08-16,8.0,308
2020-08-17,14.0,493
2020-08-18,13.0,530
2020-08-19,16.0,490
2020-08-20,14.0,493
2020-08-21,17.0,532
2020-08-22,15.0,495
2020-08-23,14.0,514
2020-08-24,15.0,588
2020-08-25,21.0,541
2020-08-26,16.0,520
